Ticker,Previous Close,Volume,Market Cap,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Liabilities,Shares Outstanding,Beta,PE Ratio (TTM),EPS (TTM),Dividend,Dividend %,Cash/sh,Cash And Cash Equivalents,NET-NET
Ticker,Previous Close,Volume,Market Cap,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Liabilities,Shares Outstanding,Beta,PE Ratio (TTM),EPS (TTM),Dividend,Dividend %,Cash/sh,Cash And Cash Equivalents,NET-NET
AABA,68.35,5824410.0,41132000000.0,4450000000.0,0.0,0.0,0.0,0.0,605510000.0,1.85,2.41,28.21,0.0,0.0,0.0,0.0,0.0
AAL,41.89,8984535.0,20078000000.0,24080000000.0,1752000000.0,1359000000.0,32939000000.0,47470000000.0,460510000.0,1.48,14.19,3.07,0.0,0.0,0.0,295000000.0,-26.58465614210332
AAME,2.75,9933.0,52649000.0,33740000.0,13241000.0,0.0,0.0,230256000.0,20250000.0,0.77,50.0,0.05,0.0,0.0,0.0,24547000.0,-9.668061728395061
AAOI,32.87,571219.0,644519000.0,61030000.0,65734000.0,75768000.0,197943000.0,119708000.0,19700000.0,1.36,18.73,1.75,0.0,0.0,0.0,83984000.0,12.66007614213198
AAON,40.25,207506.0,2083000000.0000002,0.0,52009000.0,70786000.0,142375000.0,59554000.0,52260000.0,0.62,45.23,0.88,0.0,0.0,0.0,21457000.0,3.419015499425947
AAPL,220.03,40511722.0,1050999999999.9999,114600000000.0,35673000000.0,4855000000.0,33783000000.0,241272000000.0,4830000000.0,1.26,19.72,11.04,0.0,0.0,0.0,20289000000.0,-32.71589026915114
AAWW,64.55,205020.0,1620000000.0,2500000000.0,194478000.0,34700000.0,4003101000.0,3165606000.0,25570000.0,1.34,9.26,6.84,0.0,0.0,0.0,280809000.0,50.117813844348845
AAXJ,70.95,1133765.0,1620000000.0,2500000000.0,194478000.0,34700000.0,4003101000.0,3165606000.0,25570000.0,1.34,9.26,6.84,0.0,0.0,0.0,280809000.0,50.117813844348845
AAXN,65.46,686637.0,3779000000.0,0.0,56064000.0,45465000.0,31172000.0,170668000.0,58320000.0,0.8,181.48,0.36,0.0,0.0,0.0,75105000.0,0.0066786694101508915
ABAC,2.2,4349.0,22563000.0,2180000.0,54648.0,5633005.0,20033880.0,3516834.0,9980000.0,1.29,27.56,0.08,0.0,0.0,0.0,62636484.0,8.217536923847696
ABCB,49.15,530014.0,2300000000.0,961780000.0,0.0,17475000.0,117738000.0,7051724000.0,47520000.0,1.31,28.35,1.71,0.0,0.0,0.0,291858000.0,-139.59155092592593
ABCD,12.17,88752.0,569448000.0,55130000.0,12937000.0,2382000.0,22086000.0,172846000.0,47260000.0,-0.13,13.17,0.92,0.0,0.0,0.0,8493000.0,-2.7797979263647905
ABDC,6.27,23914.0,84561000.0,0.0,12937000.0,2382000.0,22086000.0,172846000.0,0.0,-0.13,0.0,0.0,0.0,0.0,0.0,8493000.0,-2.7797979263647905
