Ticker,Previous Close,Volume,Market Cap,Enterprise Value,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Assets,Intangible Assets,Total Liabilities,Shares Outstanding,Beta,PE Ratio (TTM),Price/Sales,EPS (TTM),Dividend,Dividend %,Cash/sh,Cash And Cash Equivalents,FCF,NAV,NAV%,NET-NET,NET-NET%,EY,EV/FCF,Tangible Book Value,Price/Tangible Book Value
AAOI,28.36,6166626.0,485753000.0,602170000.0,61030000.0,65734000.0,75768000.0,197943000.0,452984000.0,4811000.0,119708000.0,19700000.0,1.36,14.12,1.51,1.75,0.0,0.0,0.0,83984000.0,17320000.0,3.839259259259259,0.6337273443656422,-9.668061728395061,-5.114068820593643,0.012790550783223852,31.288537549407113,77745000.0,3.0227024245932215e-08
CSX,74.21,2929482.0,63595000000.0,75870000000.0,13790000000.0,970000000.0,372000000.0,31764000000.0,35739000000.0,0.0,21018000000.0,858810000.0,1.09,10.67,5.49,6.94,0.0,0.0,0.0,401000000.0,1430000000.0,13.531234096692112,-0.749653393215687,3.826479007633588,-0.9292048287209327,0.010236041022301808,22.860712387028176,212711000.0,2.5410063419381226e-07
GNTX,21.29,1737471.0,5771000000.0,5360000000.0,23120000.0,231121788.0,216765583.0,492479330.0,2352053912.0,309862496.0,302535651.0,268920000.0,1.34,13.66,3.17,1.57,0.0,0.0,0.0,569734496.0,396960000.0,0.008626741871267418,-0.996148775950327,-0.0434821499668215,-1.0194116740923311,0.47049860205032623,0.6454135338345864,130005.0,1.7230106534364063e-05
JBLU,19.38,4704678.0,6057000000.0,6440000000.0,1360000000.0,245000000.0,55000000.0,7845000000.0,9781000000.0,92000000.0,4947000000.0,312850000.0,0.1,7.54,0.83,2.57,0.0,0.0,0.0,303000000.0,196000000.0,16.14810682275471,-0.8636715337884786,11.756562099871958,-0.9007466264257328,0.05248012649332397,43.35374584894738,1765634000.0,6.708638370126539e-08
MU,44.99,25464891.0,52458000000.0,50110000000.0,4640000000.0,5478000000.0,3595000000.0,23672000000.0,43376000000.0,0.0,10212000000.0,1160000000.0,1.01,3.93,1.73,11.51,0.0,0.0,0.0,6802000000.0,8320000000.0,0.5075987841945289,-0.6866674171638711,-1.2794072948328268,-1.7897575894029796,0.45997630331753553,26.878980891719745,1670000.0,9.70059880239521e-07
STLD,45.53,2672928.0,10610000000.0,12210000000.0,2370000000.0,868837000.0,1519347000.0,2675904000.0,6855732000.0,256909000.0,3549424000.0,234790000.0,1.34,10.29,1.01,4.39,0.0,0.0,0.0,1028649000.0,574670000.0,0.23665583243048033,-0.9297757173796795,-0.07486457204767064,-1.0222150065423354,0.014003236573278042,59.92121212121212,6553000.0,5.142682740729437e-07
BTU,41.18,5905127.0,4083999999.9999995,5100000000.0,1400000000.0,552100000.0,291300000.0,5111900000.0,8181200000.0,0.0,4525400000.0,114600000.0,-0.13,6.29,0.72,5.66,0.0,0.0,0.0,1012100000.0,1200000000.0,2.7804709141274238,-0.26442568409327405,0.8074965373961219,-0.7863765774084334,0.21644012944983818,18.697452229299362,40150000.0,9.414694894146948e-08
CHL,48.01,1093387.0,199992000000.0,126150000000.0,0.0,57094000000.0,10222000000.0,726141000000.0,1522113000000.0,1721000000.0,533232000000.0,20480000000.0,0.63,11.25,1.77,4.35,0.0,0.0,0.0,120636000000.0,82270000000.0,0.5904598930481283,-0.6309625668449199,0.027786096256684493,-0.9826336898395722,0.17248565181743647,9.354285714285716,27604000.0,5.796261411389654e-08
CHS,8.54,2371150.0,1090000000.0,897850000.0,61250000.0,8479000.0,233726000.0,421038000.0,1087605000.0,38930000.0,431223000.0,125700000.0,0.54,12.28,0.49,0.71,0.0,0.0,0.0,160071000.0,118340000.0,12.62016434892541,-0.30004634781334394,-107.10905499367888,-6.940602051784741,0.0416035576923077,51.68986083499006,199651000.0,9.030758673885932e-08
CNX,14.33,2597021.0,3049000000.0,6000000000.0,2350000000.0,237248000.0,10742000.0,5789753000.0,6931913000.0,0.0,3032014000.0,213060000.0,0.14,3.93,2.14,3.64,0.0,0.0,0.0,509167000.0,15840000.0,0.0,-1.0,0.0,-1.0,0.08128543546694648,65.27397260273973,0.0,5.848976109215018e-09
CSX,74.21,2929482.0,63595000000.0,75870000000.0,13790000000.0,970000000.0,372000000.0,31764000000.0,35739000000.0,0.0,21018000000.0,858810000.0,1.09,10.67,5.49,6.94,0.0,0.0,0.0,401000000.0,1430000000.0,9.376187989556136,-0.5645058992310201,-23.862323759791124,-2.1083290181045573,0.05530254755480836,25.574549237170597,179554000.0,1.1990821702663266e-07
DHI,41.83,3743291.0,15876000000.0,18180000000.0,3090000000.0,112700000.0,9237100000.0,194400000.0,12184600000.0,0.0,4437000000.0,376400000.0,1.2,12.37,1.01,3.41,0.0,0.0,0.0,973000000.0,277800000.0,28.652959683910147,-0.7328395367467586,-25.1719470256823,-1.2347034687709306,0.042898579146407344,20.054171180931743,3916000000.0,2.73876404494382e-08
DKS,35.73,2878404.0,3586000000.0,3700000000.0,171060000.0,64540000.0,1711103000.0,1677340000.0,4203939000.0,136587000.0,2262438000.0,76530000.0,0.13,10.98,0.41,3.23,0.0,0.0,0.0,101253000.0,271960000.0,-1.8500819672131148,-1.0545746892983219,-7.645686475409836,-1.22553647420088,0.038567741935483874,22.295742232451094,-45142000.0,-7.509636258916308e-07
EC,26.61,1305846.0,1107000000000.0,64530000000.0,14050000000.0,6724292000000.0,4601396000000.0,82712639000000.0,117847412000000.0,380226000000.0,69631713000000.0,41120000000.0,1.73,14.64,53.33,1.84,0.0,0.0,0.0,7945885000000.0,12590000000000.0,15.848620551779288,-0.7588096096213774,12.167348060775689,-0.8148326272899757,0.036143483870967746,20.2204683321375,792748000.0,8.288888776761341e-08
FCX,13.87,16080603.0,20170000000.0,34780000000.0,11130000000.0,1571000000.0,3893000000.0,22844000000.0,37302000000.0,306000000.0,26006000000.0,1450000000.0,2.56,7.02,1.04,1.98,0.0,0.0,0.0,4447000000.0,3270000000.0,14.045517078651685,0.10333991191293679,-6.468195945692884,-1.5081065157653484,0.028677096421189156,4.267946722020412,375015306.0,3.3945281156071e-08
HCLP,10.7,1147622.0,968452000.0,1160000000.0,194870000.0,139448000.0,44272000.0,899158000.0,1123140000.0,8416000.0,327505000.0,89670000.0,1.32,5.18,1.14,2.08,0.0,0.0,0.0,5662000.0,25760000.0,0.0,-1.0,0.0,-1.0,0.0013754665900980352,37.82622187742436,0.0,6.287782293119831e-08
HFC,69.77,1856041.0,12211000000.0,14400000000.0,2390000000.0,765070000.0,1630092000.0,4713274000.0,10692154000.0,68900000.0,4795214000.0,174690000.0,0.97,8.88,0.75,7.87,0.0,0.0,0.0,630757000.0,679130000.0,5.596676891615542,-0.8693586159753608,0.9699514314928426,-0.9773587434292054,0.05559157894736842,37.582417582417584,218942000.0,1.9566825917366244e-07
KGC,2.73,15250854.0,3350000000.0,4510000000.0,1730000000.0,84600000.0,1094300000.0,4887200000.0,8157200000.0,0.0,3538000000.0,1250000000.0,0.39,8.74,1.01,0.31,0.0,0.0,0.0,1025800000.0,11550000.0,17.85035124692659,-0.6345885108101006,-2.0918159466104673,-1.042821206685987,0.024645671641791045,15.109657777527204,1016399000.0,4.8061833984488375e-08
