Ticker,Previous Close,Volume,Market Cap,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Liabilities,Shares OutstandingBeta,PE Ratio (TTM),EPS (TTM),Dividend,Dividend %,Cash/sh,Beta,Cash And Cash Equivalents,NET-NET,Shares Outstanding
A,69.33,1436033.0,21947000000.0,1800000000.0,801000000.0,575000000.0,757000000.0,3591000000.0,0.0,75.41,0.91,0.0,0.0,0.0,1.36,2678000000.0,2.297110769520344,318770000.0
AA,41.77,2701875.0,7979000000.0,1930000000.0,1043000000.0,1453000000.0,9277000000.0,10649000000.0,0.0,56.68,0.75,0.0,0.0,0.0,1.36,1358000000.0,8.016034750898267,186470000.0
AAC,7.52,157601.0,180786000.0,326630000.0,94096000.0,0.0,152548000.0,292107000.0,0.0,0.0,0.9,0.0,0.0,0.0,-0.31,13818000.0,-2.2426422764227643,24600000.0
AADR,50.97,17892.0,180786000.0,326630000.0,94096000.0,0.0,152548000.0,292107000.0,0.0,0.0,0.9,0.0,0.0,0.0,-0.31,13818000.0,-2.2426422764227643,24600000.0
AAMC,61.7,1009.0,102443000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.981,0.0,0.0,0.0,-1.21,0.0,0.0,1610000.0
AAN,51.28,416288.0,3613000000.0,272940000.0,286022000.0,16300000.0,164087000.0,964260000.0,0.0,12.75,4.1,0.0,0.0,0.0,-0.58,51037000.0,-7.610140213934663,69180000.0
AAP,166.73,991140.0,12257000000.0,1050000000.0,606357000.0,4168492000.0,1394138000.0,5067105000.0,0.0,22.92,7.22,0.0,0.0,0.0,1.3,546937000.0,-7.9240854481641465,74080000.0
AAT,39.06,235820.0,2465000000.0,1270000000.0,48842000.0,0.0,2076707000.0,1415720000.0,0.0,95.7,0.4,0.0,0.0,0.0,0.55,82610000.0,16.523263447691654,47220000.0
AAU,0.628657,80004.0,70173000.0,0.0,243971.0,0.0,45151138.0,2072882.9999999998,0.0,0.0,0.037,0.0,0.0,0.0,-1.53,16334534.0,0.5338209176818345,111640000.0
AAV,2.55,73057.0,476534000.0,188070000.0,0.0,0.0,0.0,0.0,0.0,22.17,0.12,0.0,0.0,0.0,0.0,0.0,0.0,186200000.0
AB,30.45,484750.0,3034000000.0,0.0,0.0,0.0,0.0,1154000.0,0.0,12.41,2.49,0.0,0.0,0.0,1.4,0.0,-0.011783927295006637,97930000.0
