Ticker,Previous Close,Volume,Market Cap,Total Debt,Net Receivables,Inventory,Property Plant and Equipment,Total Liabilities,Shares Outstanding,Beta,PE Ratio (TTM),EPS (TTM),Dividend,Dividend %,Cash/sh,Cash And Cash Equivalents,NET-NET
AAXJ,70.95,1133765.0,1620000000.0,2500000000.0,194478000.0,34700000.0,4003101000.0,3165606000.0,25570000.0,1.34,9.26,6.84,0.0,0.0,0.0,280809000.0,50.11781384434885
CSX,73.05,7396860.0,63543000000.0,13790000000.0,970000000.0,372000000.0,31764000000.0,21018000000.0,858810000.0,1.09,10.66,6.94,0.0,0.0,0.0,401000000.0,14.043269174788373
GNTX,22.72,1868486.0,6051000000.0,23120000.0,231121788.0,216765583.0,492479330.0,302535651.0,268920000.0,1.34,14.32,1.57,0.0,0.0,0.0,569734496.0,3.8725357262382873
GSM,8.32,1363465.0,1453000000.0,631280000.0,133193000.0,361231000.0,789390000.0,1062499000.0,171980000.0,1.61,13.72,0.62,0.0,0.0,0.0,184472000.0,1.1156718804512151
IRDM,20.25,2914647.0,2221000000.0,2030000000.0,68031000.0,20068000.0,3210162000.0,2185582000.0,110750000.0,2.39,13.92,1.44,0.0,0.0,0.0,285873000.0,12.383839729119641
JBLU,19.91,4193625.0,6223000000.0,1360000000.0,245000000.0,55000000.0,7845000000.0,4947000000.0,312850000.0,0.1,7.75,2.57,0.0,0.0,0.0,303000000.0,10.906984177720952
MU,46.06,86689373.0,51890000000.0,7350000000.0,3725000000.0,3123000000.0,19431000000.0,15866000000.0,1160000000.0,1.01,4.49,9.97,0.0,0.0,0.0,5109000000.0,11.232112068965517
STLD,46.35,4616299.0,10706000000.0,2370000000.0,868837000.0,1519347000.0,2675904000.0,3549424000.0,234790000.0,1.34,10.38,4.39,0.0,0.0,0.0,1028649000.0,6.671622513735678
TTMI,17.35,1113117.0,1795000000.0,1600000000.0,483903000.0,294588000.0,1056845000.0,1770502000.0,103670000.0,1.74,12.92,1.34,0.0,0.0,0.0,409326000.0,1.9860157229671072
TVIX,26.29,7938156.0,1306000000.0,7330000.0,277534000.0,17814000.0,405438000.0,359447000.0,44760000.0,0.35,8.02,3.64,0.0,0.0,0.0,5637000.0,6.0028038427167125
UNFI,33.85,7077818.0,1563000000.0,482160000.0,525636000.0,1031690000.0,602090000.0,1204642000.0,50460000.0,1.59,9.19,3.37,0.0,0.0,0.0,15414000.0,6.399801823226317
WERN,36.6,1268291.0,2550000000.0,95000000.0,331854000.0,11694000.0,1346863000.0,623209000.0,71640000.0,0.92,11.23,3.17,0.0,0.0,0.0,13626000.0,13.847257118927974
BCC,39.35,1182097.0,1484000000.0,456670000.0,256177000.0,476673000.0,565792000.0,932644000.0,38890000.0,3.44,11.6,3.29,0.0,0.0,0.0,177140000.0,6.190723836461816
BTU,41.84,2278460.0,4814000000.0,1400000000.0,552100000.0,291300000.0,5111900000.0,4525400000.0,114600000.0,-0.13,7.42,5.66,0.0,0.0,0.0,1012100000.0,18.833551483420592
CHL,48.75,1047747.0,199352000000.0,0.0,57094000000.0,10222000000.0,726141000000.0,533232000000.0,20480000000.0,0.63,11.13,4.35,0.0,0.0,0.0,120636000000.0,17.6502197265625
CHS,8.56,3856288.0,1050000000.0,61250000.0,8479000.0,233726000.0,421038000.0,431223000.0,125700000.0,0.54,11.83,0.71,0.0,0.0,0.0,160071000.0,2.172698886237072
CNX,14.7,6149557.0,3113000000.0,2350000000.0,237248000.0,10742000.0,5789753000.0,3032014000.0,213060000.0,0.14,4.02,3.64,0.0,0.0,0.0,509167000.0,16.19362151506618
CSX,73.05,7396860.0,63543000000.0,13790000000.0,970000000.0,372000000.0,31764000000.0,21018000000.0,858810000.0,1.09,10.66,6.94,0.0,0.0,0.0,401000000.0,14.043269174788373
CVI,38.27,1667531.0,3405000000.0,1170000000.0,193500000.0,385200000.0,2571800000.0,2102700000.0,86830000.0,1.95,10.03,3.91,0.0,0.0,0.0,481800000.0,14.840780836116547
CVRR,18.3,1512831.0,2738000000.0,540000000.0,171400000.0,331200000.0,1478800000.0,1023100000.0,147600000.0,2.13,8.95,2.07,0.0,0.0,0.0,173800000.0,6.257791327913277
DHI,42.54,5058405.0,15963000000.0,3090000000.0,112700000.0,9237100000.0,194400000.0,4437000000.0,376400000.0,1.2,12.44,3.41,0.0,0.0,0.0,973000000.0,3.808382040382572
DKS,37.14,2941549.0,3830000000.0,171060000.0,64540000.0,1711103000.0,1677340000.0,2262438000.0,76530000.0,0.13,11.73,3.23,0.0,0.0,0.0,101253000.0,5.4895008493401285
DM,17.9,1367196.0,2273000000.0,802300000.0,46200000.0,31400000.0,6687400000.0,1085100000.0,126610000.0,2.54,12.72,1.41,0.0,0.0,0.0,11000000.0,44.73303846457625
EC,24.81,1639531.0,1019000000000.0,14050000000.0,6724292000000.0,4601396000000.0,82712639000000.0,69631713000000.0,41120000000.0,1.73,13.47,1.84,0.0,0.0,0.0,7945885000000.0,689.9496108949417
EZU,41.98,3348432.0,1199000000.0,1550000000.0,225061000.0,81336000.0,3092372000.0,3019571000.0,46520000.0,0.23,12.99,1.99,0.0,0.0,0.0,115513000.0,8.550682502149611
